"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier","Test_Split"
"1726","MN",99,"408","388-4459","no","no",0,128.8,86,203.9,105,282.6,131,14.1,4,2,"False.",9.59640107163757,FALSE,0.844430350000039
"1727","WV",50,"510","358-3114","no","no",0,131.7,108,216.5,103,196.1,126,11,5,1,"False.",5.45129697171531,FALSE,0.222768602659926
"1729","VA",113,"415","401-9909","no","yes",23,149,104,235.8,67,201.8,76,9.5,5,4,"False.",10.5197951813666,FALSE,0.420170177007094
"1730","MS",111,"415","404-9978","no","yes",36,96.8,123,170.6,105,166,85,13.4,4,2,"False.",11.4077720949493,FALSE,0.41998293553479
"1733","HI",97,"415","408-1242","no","yes",43,121.1,105,260.2,115,222.4,100,8.3,5,3,"False.",12.9135857694193,FALSE,0.380447969539091
"1734","WA",130,"510","406-7726","no","no",0,124.3,70,270.7,99,239.5,83,3.5,6,0,"False.",16.8080325117675,FALSE,0.422348427586257
"1735","WI",92,"415","351-2773","no","no",0,157.7,101,298.6,100,216.9,99,13.8,3,1,"False.",6.95873989471666,FALSE,0.191426063422114
"1736","CO",119,"408","368-6174","no","no",0,124.3,68,207.1,88,157.4,93,14.8,1,0,"False.",12.5004794337665,FALSE,0.705329281743616
"1738","RI",134,"415","413-1789","no","no",0,141.7,95,205.6,101,218.5,60,8.8,6,0,"False.",8.59728908942899,FALSE,0.731203105766326
"1739","VA",127,"408","414-1246","no","yes",25,173,91,245.8,64,300,99,4.8,3,0,"False.",16.557239418331,FALSE,0.432724097976461
"1741","ND",153,"415","386-1631","no","yes",31,218.5,130,134.2,103,118.9,105,9.4,6,0,"False.",14.14232451757,FALSE,0.731240093009546
"1744","ND",35,"415","361-4137","no","no",0,260.8,87,258.1,78,131.3,123,5.8,2,1,"False.",15.6788057746816,FALSE,0.418414376443252
"1745","WI",120,"408","374-8187","no","yes",26,239.4,94,259.4,88,238,132,7.7,3,0,"False.",11.098170369574,FALSE,0.643840002128854
"1746","MN",68,"510","370-1525","no","no",0,226.7,94,168.4,129,188.7,117,10.2,1,0,"False.",9.07222945778451,FALSE,0.219793785596266
"1747","DC",60,"408","355-3801","no","no",0,179.3,147,208.9,89,248.2,98,13.5,6,1,"True.",10.9944117402884,FALSE,0.833442652830854
"1748","KS",120,"510","392-5605","no","no",0,158,110,197,103,154.9,132,10,5,1,"False.",4.97702313557337,FALSE,0.694767313543707
"1750","WV",124,"415","358-5274","no","no",0,157.4,107,167.8,112,188.8,102,8.8,3,3,"False.",3.79229291229451,FALSE,0.899124485207722
"1751","ME",23,"510","376-9607","no","no",0,113.1,74,168.8,95,262.9,126,6.9,2,1,"True.",14.1511436310882,FALSE,0.414240285288543
"1753","NY",181,"415","421-8537","yes","no",0,161.3,83,124.4,83,262,98,14.1,3,0,"True.",14.2657772077868,FALSE,0.411004703259096
"1754","VT",63,"415","351-5576","no","no",0,142.5,92,208.3,102,228.9,120,7.5,2,2,"False.",5.54851314367357,FALSE,0.250014989404008
"1755","NC",54,"415","407-7258","yes","no",0,190.5,108,259.7,108,141.5,111,9.7,2,2,"True.",6.56865733793806,FALSE,0.373767039040104
"1756","MO",80,"408","405-4420","yes","yes",15,159.3,110,170.6,120,141.2,82,11.9,5,1,"False.",5.41468955891087,FALSE,0.231892732670531
"1757","NC",118,"408","340-2855","yes","yes",39,153.8,106,123.3,111,117.8,103,9.2,6,1,"False.",12.9549634810582,FALSE,0.931603164644912
"1758","NJ",42,"408","342-8002","yes","no",0,180.7,127,174.6,94,165.3,114,12,6,2,"False.",7.74589820499914,FALSE,0.47634475515224
"1760","TX",66,"415","402-3886","no","yes",35,190.8,100,261.3,93,209.5,108,8.9,6,0,"False.",9.17903429992923,FALSE,0.773531056009233
"1761","WA",66,"415","336-5900","no","no",0,205.1,102,232.7,109,259.9,95,9.2,6,2,"False.",4.37966520972851,FALSE,0.331117329420522
"1762","TN",127,"415","339-7684","no","yes",28,235.6,124,236.8,113,241.2,127,7.7,2,1,"False.",10.5873997560715,FALSE,0.552876470610499
"1763","HI",146,"510","390-2433","no","no",0,189.3,77,155.9,128,186,83,7.4,3,0,"False.",10.635605356642,FALSE,0.676330528920516
"1764","WY",93,"408","360-7246","no","yes",42,166.9,101,273.2,84,171,106,11.5,1,1,"False.",12.3236908166066,FALSE,0.277334370883182
"1766","NM",111,"415","348-6720","no","no",0,132.6,125,221.1,67,127.9,101,12.7,2,4,"True.",14.3301996918,FALSE,0.42575858370401
"1767","NJ",125,"415","406-6400","no","no",0,182.3,64,139.8,121,171.6,96,11.6,7,2,"False.",9.33840833159141,FALSE,0.610118482029065
"1768","AL",115,"510","390-7370","no","yes",14,192.3,86,88.7,90,229.4,120,10.5,3,2,"False.",8.26966334417364,FALSE,0.976046035066247
"1769","MN",115,"510","390-5055","yes","no",0,122,110,220.2,100,179.7,124,10.8,2,2,"True.",5.25129661752227,FALSE,0.969800120219588
"1771","OH",106,"415","364-4927","no","no",0,158.6,112,220,114,252.9,106,9.1,3,0,"False.",4.75373216275705,FALSE,0.498380037257448
"1772","ND",118,"415","329-3458","no","yes",39,91.5,125,219.9,113,229,99,12.7,8,2,"False.",14.9985613672923,FALSE,0.395689367782325
"1773","CO",59,"510","331-3842","no","no",0,153.6,92,205.5,88,114.5,89,12.5,10,1,"False.",14.0046212825217,FALSE,0.390331929083914
"1774","ND",87,"415","343-4147","yes","yes",40,221.6,79,157.1,74,222.4,124,11.5,3,1,"False.",12.9114403619949,FALSE,0.318499490851536
"1775","NY",21,"415","335-2274","no","no",0,244.7,81,168,117,281.5,87,6.6,1,1,"False.",15.1108884444524,FALSE,0.682575054233894
"1776","WI",142,"408","343-3227","no","yes",24,239.8,103,285.9,65,256.7,106,9.5,4,0,"False.",12.6741204115578,FALSE,0.284614907577634
"1777","WY",62,"415","336-6907","no","no",0,172.4,132,230.5,100,228.2,109,11,5,0,"False.",6.4431507699754,FALSE,0.39009471423924
"1778","OR",149,"415","331-1391","no","no",0,242.5,83,245.4,97,219.6,80,10,3,3,"True.",8.1108446730318,FALSE,0.990168560296297
"1780","LA",112,"510","410-2518","no","no",0,174.5,127,259.3,71,170.5,120,11.3,7,1,"False.",9.43438843417693,FALSE,0.792005731491372
"1781","AL",68,"510","344-4970","no","no",0,157.3,83,220.9,85,218.9,129,12,7,1,"False.",7.62520768374091,FALSE,0.312405151547864
"1782","TX",201,"415","408-1486","no","yes",21,192,97,239.1,81,116.1,125,15.1,3,1,"False.",17.262851614419,FALSE,0.817117730388418
"1783","PA",88,"510","396-1648","no","no",0,218.2,76,169.3,60,141.1,99,8,1,1,"False.",12.0327056841858,FALSE,0.22090977220796
"1784","IL",85,"415","391-2022","no","yes",29,144.6,97,140,102,165.4,148,10.9,3,1,"False.",12.3722632381967,FALSE,0.501073820283636
"1785","DE",51,"415","420-6465","yes","no",0,153.6,108,232.9,85,214.2,92,14.1,4,0,"True.",7.03177492541812,FALSE,0.166972296312451
"1786","MO",45,"510","398-2628","no","yes",29,135.8,104,222.5,101,235.6,92,7.9,6,2,"False.",8.00583090294749,FALSE,0.119659194489941
"1787","AR",116,"510","409-5519","no","no",0,160.7,69,146.8,106,287.8,144,8.2,5,0,"False.",15.5954793073132,FALSE,0.89760996773839
"1789","WI",63,"510","395-1693","no","yes",34,152.2,119,227.1,91,195.7,103,12.3,5,1,"False.",7.4295161195404,FALSE,0.865058556664735
"1791","KY",125,"408","328-3402","no","no",0,191.6,115,205.6,108,210.2,123,9.2,3,2,"False.",3.58129216987565,FALSE,0.276591463712975
"1793","TN",130,"408","401-2581","no","no",0,127,102,206.9,107,231.7,99,6.1,6,0,"False.",7.0578327687871,FALSE,0.787384963361546
"1794","SD",97,"415","385-1214","no","no",0,168.6,87,259.2,105,279.8,123,7.3,4,1,"False.",7.65665039309969,FALSE,0.358660299796611
"1796","GA",160,"415","341-8412","no","yes",29,164.6,121,262.8,108,123.8,131,15.2,4,1,"False.",15.7372251110208,FALSE,0.74609359796159
"1799","MI",59,"415","375-9671","no","no",0,204.3,65,247.3,123,214.7,94,12,4,1,"False.",8.22406577390165,FALSE,0.433864830993116
"1801","NE",21,"510","408-3606","no","no",0,225,110,244.2,111,221.2,93,10.7,4,0,"False.",8.35003704315782,FALSE,0.256626832997426
"1802","SD",93,"415","333-3595","no","no",0,176.1,103,199.7,130,263.9,96,8.5,6,2,"False.",5.48616721839244,FALSE,0.498015220975503
"1804","AK",101,"510","411-4940","no","no",0,174.9,105,262,75,210,93,8.5,5,1,"False.",4.31849603983089,FALSE,0.65335523057729
"1806","CO",63,"415","408-6725","no","no",0,211.8,84,230.9,137,217.1,99,10.7,9,3,"False.",12.8588727653511,FALSE,0.180472461739555
"1807","MD",107,"415","350-2384","no","no",0,241.9,102,126.9,117,185.6,92,11.7,6,0,"False.",7.37908173719037,FALSE,0.104462501592934
"1808","ND",110,"408","348-1706","no","no",0,196.1,103,199.7,123,135.9,71,12.9,1,3,"False.",10.6960545019725,FALSE,0.812392983818427
"1809","NH",83,"415","415-6145","no","no",0,231.3,100,210.4,84,217.4,106,12.4,2,3,"False.",5.96491538531707,FALSE,0.627502441639081
"1810","MN",117,"408","373-3731","no","no",0,161.6,104,196.3,119,294.8,111,13.8,2,1,"False.",8.82167553265231,FALSE,0.630572485970333
"1811","KY",124,"415","341-3349","no","no",0,194,103,241,116,227.5,153,11.9,5,0,"False.",11.7677338321153,FALSE,0.390889850212261
"1812","NH",115,"510","399-8859","no","no",0,109.7,148,223.8,87,240.3,96,15.4,8,3,"False.",17.6625410957661,FALSE,0.43225357378833
"1813","CO",156,"408","377-4518","yes","no",0,277,119,238.3,106,94.4,96,8.3,3,1,"False.",13.0358545319824,FALSE,0.348634002264589
"1814","KY",89,"408","341-1594","no","no",0,192.1,83,163.6,88,169.7,138,6.1,3,0,"False.",11.0930854522955,FALSE,0.793557758675888
"1815","KY",72,"415","418-8770","no","no",0,198.4,147,216.9,121,112.8,125,13.1,4,0,"False.",15.5967425223612,FALSE,0.886936112074181
"1816","IN",101,"415","332-9118","no","yes",42,209.2,82,159.7,74,181.6,100,9.5,3,0,"False.",12.5112149865445,FALSE,0.651127086719498
"1817","OR",53,"415","386-1418","no","no",0,184.8,98,216.4,125,141.1,116,18.4,3,2,"False.",15.5566062512928,FALSE,0.592863264260814
"1818","SD",116,"408","393-3535","no","no",0,167.8,119,142,123,190.7,128,7.3,4,2,"False.",7.68313445167405,FALSE,0.327822093851864
"1820","OR",117,"415","402-2482","no","yes",17,221.3,82,167.6,100,262.7,87,4.4,4,0,"False.",11.3444777931854,FALSE,0.591387242078781
"1821","NE",56,"510","408-4865","no","no",0,121.6,84,165.3,115,243.9,95,8.9,2,1,"False.",7.16659381013212,FALSE,0.178336763521656
"1823","OH",127,"408","396-9462","no","no",0,139.6,94,240.9,112,127.1,88,8.8,4,2,"False.",5.37559496963355,FALSE,0.741350124124438
"1824","AR",116,"415","396-9279","no","yes",23,253,78,138.9,121,277.8,104,11.8,3,2,"False.",10.5644628529655,FALSE,0.293876208132133
"1825","KS",138,"510","363-8715","no","yes",26,183.9,83,240.7,93,185.7,125,15,3,1,"False.",9.75976750724783,FALSE,0.639185810694471
"1826","TX",120,"415","356-1358","no","no",0,203.3,108,259.9,66,115.9,103,7.8,2,3,"False.",11.8743297221727,FALSE,0.124822397250682
"1827","WI",102,"408","360-7839","no","no",0,200.6,106,152.5,127,199.4,128,7.7,2,3,"False.",8.68650537209087,FALSE,0.255265783751383
"1828","OR",95,"415","364-8774","no","no",0,167.6,96,176,89,250.9,113,13.4,6,2,"False.",4.67693373121041,FALSE,0.82057468732819
"1829","VA",102,"408","348-5038","no","no",0,156.5,67,204.3,103,141.9,72,9.9,2,2,"False.",8.17436679459124,FALSE,0.803780392976478
"1834","IL",70,"408","382-6827","no","no",0,208.7,97,275.5,83,182.5,122,8,3,2,"False.",6.86156482814321,FALSE,0.87553172186017
"1835","MO",138,"415","408-1340","no","yes",29,190.1,87,223.2,123,256.2,130,14.2,6,0,"False.",13.4084899859357,FALSE,0.128009089967236
"1836","DC",141,"415","333-9511","no","yes",37,185.4,87,178.5,128,218.3,107,8,3,4,"False.",13.6909039616246,FALSE,0.608831403544173
"1837","MA",112,"415","358-7379","no","yes",17,183.2,95,252.8,125,156.7,95,9.7,3,0,"False.",6.19236165796767,FALSE,0.469566873274744
"1838","NH",117,"510","397-1766","yes","no",0,54.2,100,303.2,84,171.8,84,8.6,2,1,"True.",13.5214388598238,FALSE,0.55729108559899
"1840","AL",70,"415","345-7014","no","no",0,230.3,110,77.9,87,247.1,105,13.2,4,1,"False.",10.9500330095661,FALSE,0.730392784578726
"1841","OR",87,"510","395-1898","no","yes",22,240.8,102,75.9,106,224.6,115,7.1,3,2,"False.",11.5788925428808,FALSE,0.469858688767999
"1842","WV",52,"510","373-8920","no","yes",21,195.7,119,106.2,95,157.4,94,5.3,3,2,"False.",12.3287370731943,FALSE,0.988610059022903
"1843","WA",97,"408","373-8908","no","no",0,276.1,82,201.1,106,231.3,73,8.9,4,0,"True.",9.18122532539314,FALSE,0.984668384538963
"1844","NV",105,"408","415-1203","no","no",0,166.1,93,175.9,106,243.5,55,16.2,3,2,"False.",12.7109918125498,FALSE,0.393284681020305
"1845","SC",77,"510","369-7017","no","yes",28,135.9,117,244.5,102,207.5,74,11.5,3,4,"True.",11.4245614346438,FALSE,0.608847137540579
"1846","NC",80,"415","420-8435","yes","no",0,189.1,122,223.2,92,269,116,13.9,3,2,"True.",7.58093083500405,FALSE,0.345483730081469
"1847","NH",120,"510","395-2579","no","yes",43,177.9,117,175.1,70,161.3,117,11.5,4,1,"False.",12.3001429071004,FALSE,0.437112562125549
"1848","WY",54,"408","405-7850","no","yes",39,143.9,73,210.3,117,129.2,117,12.5,8,2,"False.",17.4819412500425,FALSE,0.22913196333684
"1852","MO",85,"510","383-6095","no","no",0,165.8,96,190,141,144,116,10.9,3,5,"True.",14.8127831291799,FALSE,0.764575645094737
"1853","KS",101,"510","413-1061","no","yes",25,144.1,144,167.6,105,240,107,14.5,3,1,"False.",11.4497533998292,FALSE,0.46904400549829
"1854","KY",172,"415","343-5347","no","no",0,172.5,85,253.1,71,221.6,113,5.9,6,0,"False.",13.3065315011241,FALSE,0.850831880234182
"1855","DE",80,"415","376-4861","no","no",0,199.8,138,167.1,91,271.8,94,5.5,4,1,"False.",10.3520909237921,FALSE,0.581719390582293
"1856","WI",67,"510","417-2265","no","no",0,109.1,134,142.3,76,91.2,86,10.9,5,2,"False.",14.7800727150124,FALSE,0.186888262396678
"1857","CO",86,"408","419-7415","no","no",0,171.8,106,301.7,44,139.4,108,9.7,5,1,"False.",14.9992778864642,FALSE,0.609060978516936
"1858","NM",107,"415","407-2259","no","no",0,222.3,101,286,111,249.4,117,12.1,4,1,"True.",6.71181372863459,FALSE,0.893341733142734
"1859","DE",133,"510","333-2906","no","no",0,245.8,102,264.7,90,111.7,103,11.2,7,0,"False.",11.2031406154756,FALSE,0.794321165885776
"1860","IL",116,"510","360-7477","no","no",0,164.6,110,270.6,103,230.4,109,8,3,0,"False.",5.82138771061114,FALSE,0.504092833958566
"1861","WA",63,"408","342-5243","no","no",0,211.7,107,271.7,77,203.3,108,7.4,7,0,"False.",9.61451629795719,FALSE,0.423028273740783
"1862","MA",119,"408","417-3999","yes","yes",16,147.2,103,160.1,96,184,120,7.7,2,0,"True.",6.7669416751744,FALSE,0.654381287749857
"1863","OH",133,"408","379-1720","yes","no",0,254.7,103,252.2,80,178.1,103,8,3,0,"True.",8.10626848958632,FALSE,0.887738514458761
"1864","TN",94,"408","368-3117","yes","no",0,170.1,113,271.8,94,110.7,78,8.7,4,1,"False.",8.00362000704041,FALSE,0.892016471130773
"1865","MA",69,"510","352-5000","no","no",0,195.1,91,261.5,57,203.8,90,11.4,5,0,"False.",9.70977394350585,FALSE,0.178390537854284
"1867","TX",119,"510","361-2349","no","no",0,81.9,75,253.8,114,213.1,125,8.9,1,2,"True.",12.2632601342136,FALSE,0.257502424763516
"1868","NH",142,"408","383-2901","yes","yes",25,191.1,109,149.6,120,227.8,60,9.8,3,0,"False.",11.8120133794837,FALSE,0.113438504748046
"1869","MD",123,"408","369-7049","no","no",0,206.9,115,224.4,86,197.4,60,8.3,2,3,"False.",9.78553808375286,FALSE,0.797158958623186
"1871","AZ",43,"415","362-3660","no","no",0,179.3,97,252.7,126,227.5,114,8,5,0,"False.",8.5096858313295,FALSE,0.10953848878853
"1872","IN",69,"408","357-3577","no","no",0,185.3,91,219.1,88,243.6,107,5.5,5,0,"False.",7.31300536301722,FALSE,0.829071694752201
"1873","NY",15,"510","394-3312","yes","no",0,141.4,80,123.9,76,323.5,88,8.1,3,2,"False.",17.5729898969894,FALSE,0.771046296926215
"1874","WI",107,"510","395-8330","no","yes",25,248.6,91,119.3,115,194.3,83,12,1,1,"False.",10.5717958616897,FALSE,0.943689404521137
"1875","WV",67,"510","373-8895","no","no",0,152.5,131,252.4,107,185.4,104,4.9,3,2,"False.",9.65753426436807,FALSE,0.466957593569532
"1876","NY",99,"415","386-4581","no","no",0,145.6,102,230.9,87,181.5,86,11.4,7,1,"False.",4.05743412322722,FALSE,0.939855647506192
"1877","OK",46,"415","354-8191","no","no",0,164.2,116,196.2,153,236.1,119,8.1,1,1,"False.",15.2030194019263,FALSE,0.78518294240348
"1878","NC",55,"408","359-7562","yes","no",0,221,115,165.4,97,235.4,117,9.7,4,1,"False.",4.88724962589792,FALSE,0.874607875011861
"1879","KY",39,"415","359-4336","no","no",0,295.4,126,232.1,117,204.4,123,11.5,2,1,"True.",13.4672075872406,FALSE,0.394462653435767
"1881","CT",56,"415","406-3069","no","no",0,162.3,99,149.1,78,255.5,115,14.8,1,4,"True.",15.2530682305559,FALSE,0.27696142042987
"1882","NE",76,"415","334-6519","no","no",0,272.7,97,236.4,95,235.5,105,7.7,2,0,"True.",8.31154424069773,FALSE,0.722222051117569
"1883","HI",132,"408","361-8113","yes","yes",33,200.3,75,226.6,67,198.8,91,12.9,3,2,"False.",10.8504838533306,FALSE,0.356305179418996
"1884","SC",140,"510","347-9769","no","yes",28,157.1,77,172.4,97,184.5,94,11.1,9,1,"False.",10.8958082197522,FALSE,0.382711883401498
"1886","SD",27,"408","378-4557","no","no",0,236.7,110,231.9,92,164.7,85,12.7,6,1,"False.",9.23299772133343,FALSE,0.521445286925882
"1888","OK",105,"510","405-4109","yes","yes",28,156.1,89,107.1,114,167.7,95,14.7,3,0,"True.",11.9191645637152,FALSE,0.121077910298482
"1889","WA",117,"408","381-2498","no","no",0,191.1,93,282.8,56,84.8,118,12,4,2,"False.",15.7527395594414,FALSE,0.885184176499024
"1893","WI",147,"415","405-5403","yes","no",0,225.2,111,184.9,98,143.2,146,9.9,1,0,"True.",13.7936670362464,FALSE,0.784227946773171
"1894","IN",68,"510","330-9354","no","no",0,249.9,127,254.5,118,273.2,98,8.9,6,2,"True.",9.76108280124928,FALSE,0.854132302571088
"1896","HI",86,"408","398-3004","no","yes",21,197.9,99,165.6,100,208,120,10.1,9,0,"False.",9.62295582495453,FALSE,0.275143509497866
"1897","KY",131,"415","400-4020","no","no",0,166.5,129,210.2,107,257.2,93,9.9,5,1,"False.",4.71672365262162,FALSE,0.642069949069992
"1898","OH",86,"415","356-3448","no","yes",29,225.4,79,187.1,112,281.1,112,12.9,3,1,"False.",9.62336217305063,FALSE,0.785078359534964
"1899","VT",159,"415","335-2019","no","no",0,275.8,103,189.5,108,223.9,93,7.4,5,2,"True.",7.6124988498744,FALSE,0.400062711909413
"1901","VT",113,"510","359-7648","no","no",0,207.2,113,256,80,211,87,9.9,1,1,"False.",6.65518362899966,FALSE,0.935302329715341
"1902","MO",132,"408","412-9190","no","no",0,206.2,100,211.2,118,196.2,122,10.2,6,1,"False.",4.11563887217624,FALSE,0.390516970772296
"1903","AL",85,"415","368-9007","no","no",0,210.3,66,195.8,76,221.6,82,11.2,7,1,"False.",8.91124970392061,FALSE,0.423959307139739
"1904","NJ",93,"510","384-5632","yes","yes",38,225.7,117,119.6,122,193.2,125,14,7,1,"True.",15.698139022155,FALSE,0.286421701079234
"1906","NY",61,"415","343-9645","no","no",0,197.7,118,152.2,96,221,93,7,3,2,"False.",5.53432233388967,FALSE,0.611748408526182
"1907","DC",91,"415","384-7873","no","yes",39,169.8,105,65.2,116,144.4,92,10.9,4,1,"False.",15.6633541477244,FALSE,0.558812738629058
"1910","VT",195,"415","377-7843","no","yes",36,231.7,110,225.1,88,201.7,89,12.1,2,0,"False.",15.0484312933677,FALSE,0.745281946845353
"1911","NM",182,"415","382-7999","no","no",0,69.1,114,230.3,109,256.7,96,6.5,4,0,"False.",15.1267456585337,FALSE,0.206487420713529
"1912","CO",118,"408","328-1222","no","no",0,188.8,60,217.4,64,220.1,100,8.2,7,4,"False.",14.7490988292249,FALSE,0.656495965085924
"1914","IL",65,"510","369-8871","no","no",0,192,89,139.5,88,187.4,102,5.5,4,2,"False.",6.84158910333246,FALSE,0.522414671257138
"1915","UT",61,"408","335-9726","no","yes",25,163.7,78,113.2,112,134.1,118,9.9,3,3,"False.",11.9429295408241,FALSE,0.633436584845185
"1916","WV",172,"415","357-3709","no","no",0,211.7,100,198.7,101,301.7,136,6.5,9,1,"False.",18.1766275488963,FALSE,0.617563133826479
"1917","NJ",72,"415","422-9964","no","no",0,175.5,103,132.3,120,242.9,96,11.8,3,1,"False.",5.43350253126971,FALSE,0.284895547432825
"1918","NM",113,"510","366-9211","no","no",0,150.1,120,200.1,85,266.7,105,11,3,2,"False.",4.82885065998658,FALSE,0.223807222442701
"1919","ND",177,"408","384-9033","no","no",0,189.5,99,176.3,117,225.9,112,14.2,2,1,"False.",9.32372300657813,FALSE,0.539019355317578
"1921","NM",67,"415","404-7518","no","no",0,215.5,102,190.7,95,214.5,106,8.6,6,1,"False.",3.15932238415718,FALSE,0.996371977264062
"1922","DE",136,"415","353-1954","no","no",0,101.7,105,202.8,99,136.2,119,9.4,6,3,"False.",8.04275074607798,FALSE,0.328916536876932
"1923","GA",71,"415","391-7166","no","no",0,258.4,132,126.8,119,182.4,87,9.7,8,4,"False.",17.0349282216905,FALSE,0.323336088331416
"1925","CT",124,"415","332-3642","no","no",0,131.8,82,284.3,119,305.5,101,11.3,2,1,"False.",12.8449838605954,FALSE,0.525611852528527
"1926","NJ",84,"415","412-3898","no","no",0,190.2,102,197.7,141,247.5,102,9.8,6,2,"False.",6.57540693183666,FALSE,0.596806915011257
"1927","ME",39,"408","366-5640","no","no",0,154.1,104,204.2,112,196.2,92,9.8,4,2,"False.",3.86433724664999,FALSE,0.742086659185588
"1928","OK",110,"510","356-2302","no","no",0,188,127,90.5,118,150.3,64,15.3,3,3,"False.",17.8333876015664,FALSE,0.95283712958917
"1929","TN",102,"510","345-9018","no","no",0,103.1,70,275,129,141.1,92,11.2,5,1,"False.",11.4123305030632,FALSE,0.489621237851679
"1931","NY",142,"415","337-1151","no","no",0,145.4,93,209.1,98,214,96,10.9,1,1,"False.",5.08597345258184,FALSE,0.259927998995408
"1932","DE",81,"510","374-4664","yes","no",0,250.6,85,187.9,50,120.3,131,7.8,5,1,"False.",17.1372047954965,FALSE,0.874846625607461
"1933","RI",17,"415","396-9656","no","no",0,161.5,123,214.2,81,315,106,8.6,5,1,"False.",13.2251937506062,FALSE,0.852059136377648
"1934","PA",119,"408","377-5043","no","no",0,260.1,101,256.5,68,229.1,89,10,2,1,"True.",9.2021414572072,FALSE,0.842904664576054
"1935","HI",105,"415","401-7359","no","no",0,281.3,124,301.5,96,202.8,109,8.7,3,0,"True.",11.7670613169519,FALSE,0.946903674630448
"1936","MD",108,"415","375-2184","yes","yes",42,130.1,90,167,128,244.7,80,13.6,5,3,"True.",15.3591181934669,FALSE,0.652681634761393
"1937","VA",90,"415","367-6005","no","no",0,102,118,113.3,134,188.6,105,11.4,3,2,"False.",10.4552523433276,FALSE,0.488155565224588
"1938","IN",100,"415","364-2166","no","yes",33,218.7,104,155,144,99,117,12.1,4,1,"False.",15.409114729943,FALSE,0.187756700674072
"1939","OR",155,"408","414-4741","no","yes",30,128.5,86,188.4,91,254.4,85,6.8,6,1,"False.",11.1725148434215,FALSE,0.71303306077607
"1941","WI",123,"415","371-8452","no","no",0,172.2,92,162.6,76,250.3,101,8.7,4,1,"False.",4.57581252016986,FALSE,0.461199405603111
"1942","VA",145,"408","392-6239","no","no",0,199.2,124,126,86,289.2,135,7.6,3,1,"False.",13.6327540222985,FALSE,0.935907306615263
"1943","MO",42,"415","410-5250","no","no",0,184.5,98,200.5,93,279.2,91,8.8,3,2,"False.",6.02472886069978,FALSE,0.845293667865917
"1944","NV",125,"510","336-1574","no","no",0,168.6,99,175.6,107,243.3,92,10.9,7,0,"False.",5.03651196357203,FALSE,0.716186716919765
"1945","HI",131,"415","406-8324","no","yes",30,174,118,205.3,81,218.2,90,6.7,3,1,"False.",7.75880713385194,FALSE,0.123806348303333
"1946","WA",107,"415","411-7110","no","no",0,230.4,65,257.4,80,107.3,88,8.5,3,1,"False.",12.0930413793197,FALSE,0.594827461289242
"1947","IL",48,"408","341-9907","no","no",0,198.2,73,202.8,115,146.4,73,5.1,5,1,"False.",12.1688259524407,FALSE,0.98985280143097
"1948","IL",76,"510","400-8952","no","no",0,186.1,96,211.6,100,230.6,100,8,4,0,"False.",3.39928361874259,FALSE,0.6154084878508
"1949","LA",128,"415","333-9266","no","no",0,148.5,105,243,106,255.2,114,6.8,2,1,"False.",6.82494764926056,FALSE,0.273077666992322
"1952","MI",126,"415","394-3048","yes","yes",26,129.3,123,176.5,114,154.5,102,9.6,7,1,"False.",8.05494507780466,FALSE,0.873511214042082
"1953","NC",124,"415","352-6265","no","no",0,188.5,77,182,123,218.2,127,6.1,6,1,"False.",9.33109245450779,FALSE,0.36282499670051
"1954","WA",137,"408","357-3187","no","no",0,208.8,120,225.3,100,221.6,130,11.1,5,0,"False.",6.6875583518759,FALSE,0.945622149156407
"1956","NE",139,"415","375-9930","no","no",0,211.1,103,206.9,108,193.9,70,5.6,4,0,"False.",9.00074811768753,FALSE,0.558318939991295
"1957","MS",107,"510","352-6282","no","yes",30,198.9,87,207,90,159.8,76,12.6,4,3,"False.",7.84165856351149,FALSE,0.512661150889471
"1958","KY",147,"408","396-2945","no","no",0,212.8,79,204.1,91,156.2,113,10.2,2,1,"False.",6.48322190472266,FALSE,0.9477716635447
"1959","RI",116,"510","412-3527","no","no",0,137.4,126,120,94,130.3,64,12.4,2,3,"False.",14.3119983111816,FALSE,0.109801595564932
"1960","NY",60,"510","328-4231","no","yes",31,191.8,75,267.8,135,200.5,62,12.8,3,2,"False.",16.3063707534524,FALSE,0.818907550536096
"1962","DE",63,"408","363-8755","no","no",0,117.1,118,249.6,90,162.2,84,11.1,4,3,"False.",7.5819527189544,FALSE,0.377342106774449
"1963","NM",94,"415","388-8891","no","no",0,108,79,241.9,152,252.1,92,10.4,3,3,"False.",14.6323878276485,FALSE,0.556641047820449
"1964","RI",131,"415","360-1776","no","no",0,112.8,133,199.4,116,142.7,105,10.1,5,0,"False.",8.86753863136557,FALSE,0.313871186692268
"1966","NY",139,"510","399-7268","no","no",0,236.6,109,169.9,107,212.3,118,11.1,2,1,"True.",5.43082206187572,FALSE,0.779937542276457
"1967","NE",77,"415","350-1532","no","no",0,169.4,102,184.9,144,234.3,89,2,7,1,"False.",18.1612999292989,FALSE,0.193234728416428
"1968","WI",140,"415","359-2197","no","no",0,129.6,79,246.2,99,172.1,124,9.4,10,3,"False.",14.8709805337212,FALSE,0.655585467582569
