"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier"
"1374","SC",108,"415","399-6233","no","no",0,112,105,193.7,110,208.9,93,4.1,4,4,"True.",12.2212440486265,FALSE
"1375","MI",97,"408","337-4749","no","yes",32,168.4,129,225.9,97,191.8,95,8.5,7,0,"False.",9.07858908871215,FALSE
"1379","IL",58,"415","404-9348","yes","yes",43,142.8,96,272.3,100,193.4,105,8.9,4,1,"False.",11.6900249418353,FALSE
"1380","MO",36,"415","336-1462","no","no",0,202.4,115,230.7,115,202,127,10.2,2,3,"False.",9.55503370949357,FALSE
"1381","WI",54,"415","364-8981","no","no",0,116.8,119,123.1,123,217.5,101,12,2,1,"False.",9.8126542889198,FALSE
"1382","NJ",45,"510","412-7606","no","no",0,155.7,110,260.3,103,192.2,98,11,1,1,"False.",6.78445474327935,FALSE
"1383","GA",125,"415","380-6342","no","yes",39,236.1,107,289.2,110,175.4,107,9.1,4,2,"False.",11.9507202439621,FALSE
"1384","VT",72,"415","418-3017","no","yes",21,138.1,113,260.1,83,135.4,118,8.2,2,2,"False.",9.8569752469311,FALSE
"1385","CT",141,"408","367-3648","no","no",0,51.9,108,162,83,223.5,115,10.1,3,3,"False.",11.801597850465,FALSE
"1386","AZ",113,"510","341-5892","no","no",0,81.3,116,220.6,124,235.7,113,8.9,3,0,"False.",9.49819191612921,FALSE
"1387","SD",20,"415","334-4678","no","yes",35,171.5,98,153.1,127,165.6,125,7.1,3,0,"False.",17.2615427718907,FALSE
"1389","IN",99,"415","397-8512","yes","no",0,197.2,127,156,92,204.1,99,9.9,6,4,"False.",8.13426533679678,FALSE
"1390","OH",94,"510","367-9495","no","no",0,194.1,62,227.2,54,190.4,115,15.3,4,1,"False.",14.7602799988124,FALSE
"1391","NY",40,"510","379-2991","no","no",0,115.7,105,127.8,113,107.5,91,9.3,6,1,"False.",12.0300770874929,FALSE
"1392","NE",86,"510","356-4832","no","yes",29,157.2,118,196.3,136,226.7,109,8.4,5,3,"False.",10.0801585827355,FALSE
"1394","NC",170,"415","366-4444","no","no",0,246.4,107,228.1,124,166.4,95,9.1,8,0,"False.",11.2171359524707,FALSE
"1395","HI",105,"510","394-3806","no","no",0,227.4,121,268.5,89,143.3,82,13,4,1,"False.",7.90401940810422,FALSE
"1396","UT",103,"415","368-5647","no","no",0,189.8,110,115.5,83,191.3,103,12.2,4,0,"False.",6.63512401214604,FALSE
"1397","MD",140,"415","412-1076","yes","yes",27,188.9,124,160.9,102,197.7,100,11.5,5,4,"False.",10.1073148080144,FALSE
"1399","TX",98,"408","371-2316","no","yes",19,110.5,87,227.8,97,243.6,84,11,4,1,"False.",4.88448342665849,FALSE
"1400","AZ",104,"408","420-3346","no","no",0,167.6,116,219.2,112,215.9,94,11.7,2,4,"False.",7.6694870704436,FALSE
"1402","WI",112,"408","417-5813","no","no",0,167.8,88,247.9,81,155.1,108,11.9,4,0,"False.",5.68152570432777,FALSE
"1403","NE",70,"415","421-8535","no","no",0,213.4,86,204.7,77,256.6,101,5.7,4,1,"False.",7.61441649663204,FALSE
"1404","KY",126,"510","375-1721","no","no",0,175.4,120,98.3,71,201.9,93,10.6,1,0,"False.",12.2389873137436,FALSE
"1406","MT",125,"510","366-5829","no","no",0,143.2,80,88.1,94,233.2,135,8.8,7,4,"True.",17.5079758749167,FALSE
"1407","MO",86,"415","367-7906","no","no",0,125.5,139,269.8,93,235.8,110,8.9,8,1,"False.",11.3463994243464,FALSE
"1409","NM",232,"408","386-9177","no","no",0,165.6,104,195.9,115,118.3,77,11.8,3,1,"False.",16.8470008464068,FALSE
"1410","NJ",1,"415","420-6780","no","yes",30,183.1,95,232.6,110,248.3,110,8.4,2,0,"False.",14.0719272376438,FALSE
"1411","NH",133,"408","401-1454","no","no",0,162.1,91,212.1,94,260.4,78,12.2,5,1,"False.",5.05176962520812,FALSE
"1412","NC",103,"510","379-2508","no","no",0,166.6,84,192.4,91,167.9,115,7.7,6,1,"False.",4.20203707292626,FALSE
"1413","MT",131,"415","353-3492","no","yes",24,135.9,60,233.2,78,210.6,121,9.4,4,1,"False.",11.6654024638819,FALSE
"1414","SD",95,"408","406-4840","no","yes",20,165.7,78,215.6,94,243.3,91,9.8,6,0,"False.",5.4466081271219,FALSE
"1415","VA",182,"415","391-7982","no","no",0,176.1,90,174.9,106,234.7,134,9.7,4,1,"False.",9.72027060087655,FALSE
"1416","LA",99,"510","379-9821","no","no",0,142.3,89,204.5,95,203.1,114,9.1,1,0,"False.",6.04428607975335,FALSE
"1417","NV",27,"510","398-7414","no","no",0,177.6,121,296.8,92,192.9,106,7.6,3,3,"False.",12.1432527843218,FALSE
"1418","AK",141,"408","338-8566","no","no",0,83.2,74,190.6,104,150.5,79,10.7,7,1,"False.",10.1812176701505,FALSE
"1419","OH",29,"415","397-3058","yes","yes",37,235,101,183.3,79,139.8,106,5.7,7,2,"False.",17.2157053894018,FALSE
"1421","MI",81,"415","393-6840","yes","no",0,149.4,68,171.9,98,214.5,97,17.9,3,3,"True.",14.0712693887918,FALSE
"1422","MN",37,"415","360-7404","no","yes",20,264.7,81,216.5,110,210.7,102,10.4,7,0,"False.",10.2068232840661,FALSE
"1424","WY",127,"415","412-3726","yes","yes",28,95.9,117,159.5,131,152.8,132,10.4,3,1,"False.",13.7294609790798,FALSE
"1425","WA",78,"408","372-7326","no","no",0,140.7,77,195.2,114,252.9,107,11.7,5,0,"False.",6.3547243847382,FALSE
"1426","NM",55,"510","338-9873","no","no",0,119.7,148,231.8,96,222.3,113,4.6,2,2,"False.",16.0977156259594,FALSE
"1427","VA",86,"415","383-4322","no","yes",30,99.9,84,263.5,125,254.7,90,9.8,7,2,"False.",12.3019422664961,FALSE
"1428","RI",176,"415","401-7654","no","no",0,250.9,108,171.4,100,148.6,85,9.6,6,2,"False.",8.51851434851377,FALSE
"1429","AL",96,"415","410-5455","yes","no",0,200.6,117,289.5,120,98.3,95,11.2,5,2,"False.",10.0903762321497,FALSE
"1431","WV",48,"415","367-2056","no","yes",34,198,70,273.7,121,217.9,71,7.6,4,1,"False.",15.2852633011668,FALSE
"1432","NJ",127,"510","363-6695","no","no",0,239.8,107,128.9,121,249.9,110,11.3,5,1,"False.",6.70704664034012,FALSE
"1433","TN",63,"415","374-6217","no","no",0,164.5,75,147.9,118,252.7,97,11.2,2,0,"False.",8.98756427680752,FALSE
"1434","MI",79,"510","337-9569","no","no",0,220.9,107,192.2,97,161,74,12.2,2,1,"False.",5.79248987261303,FALSE
"1436","IL",89,"415","380-4080","yes","yes",19,112.6,114,261.7,132,123.5,116,11.1,2,0,"True.",12.9774889338779,FALSE
"1437","MI",83,"510","333-7460","no","yes",26,226.4,117,234.7,97,133.6,82,10.8,7,1,"False.",8.4053480682121,FALSE
"1438","WI",126,"415","378-3722","yes","yes",34,244.9,118,219.6,105,210.8,136,9.7,6,4,"False.",16.2997347616682,FALSE
"1439","ND",60,"510","353-9339","no","no",0,203.2,99,235.8,131,224.9,112,15.1,6,2,"False.",9.5801256958814,FALSE
"1440","VT",122,"415","386-6535","no","no",0,136.7,115,243.1,137,188.9,110,8.6,4,0,"False.",8.45499420677267,FALSE
"1441","WA",136,"408","403-5575","no","no",0,152.6,97,208.9,85,119.1,99,5,10,1,"False.",15.1014756921965,FALSE
"1443","ME",102,"510","390-9627","no","no",0,195.7,116,209.1,87,201.1,73,8.3,3,1,"True.",4.59935914488458,FALSE
"1444","SD",113,"415","406-4560","yes","no",0,204.3,82,188.8,115,139.4,97,9.2,7,1,"False.",5.49439053439854,FALSE
"1445","WV",79,"415","359-6931","no","no",0,222.3,99,146.2,82,275.6,82,8.9,4,3,"False.",8.08980906967561,FALSE
"1446","ID",55,"510","331-7342","no","yes",8,222.5,104,171.5,94,377.5,114,9.7,2,1,"False.",16.5273060334013,FALSE
"1447","LA",111,"415","367-2227","no","yes",28,128.8,104,157.3,52,147.4,76,10.3,2,2,"False.",14.318641173068,FALSE
"1448","GA",160,"415","335-8836","no","no",0,174.3,105,171.3,107,220.8,131,8.3,2,0,"False.",9.4768690407274,FALSE
"1449","FL",110,"415","398-6703","no","no",0,242.5,110,162.3,140,184.1,86,7.8,3,4,"False.",12.6744563428879,FALSE
"1451","NV",93,"408","335-3880","no","no",0,114.3,100,221.1,103,126.3,88,10.9,9,0,"False.",10.6293182258127,FALSE
"1452","IN",101,"415","375-8761","no","yes",33,219.7,137,186.8,94,184.5,113,9.5,2,2,"False.",10.1125631527533,FALSE
"1453","VA",77,"510","367-1398","no","no",0,144.9,136,151.3,115,252.4,73,12.3,3,2,"False.",10.4572872899515,FALSE
"1454","UT",105,"415","395-7857","no","yes",40,236.5,111,117,110,221.1,115,8.1,3,2,"False.",12.7144808798324,FALSE
"1455","UT",133,"408","398-8745","no","yes",44,174,80,209.4,113,224.1,87,14.1,7,2,"True.",14.1037969980787,FALSE
"1457","CT",106,"510","330-1175","no","yes",33,81.6,120,235.6,85,150.9,113,9.9,4,1,"False.",11.1978357447908,FALSE
"1458","HI",118,"415","418-6752","no","no",0,133.4,113,121,92,254.7,129,5.9,4,1,"False.",11.0202609555656,FALSE
"1459","MD",125,"408","349-6464","no","no",0,137.1,94,209.8,83,238.4,114,8.6,4,1,"False.",4.32282362086855,FALSE
"1460","VA",95,"415","366-7331","no","no",0,197,88,190.4,68,211.9,104,16.1,8,0,"False.",12.7961540036602,FALSE
"1461","MT",80,"415","361-8288","no","no",0,198.1,160,156.7,87,182.1,76,9.3,3,3,"False.",15.0928733677024,FALSE
"1462","SC",145,"408","377-6635","no","no",0,39.5,78,264.3,106,185.8,90,10,6,0,"False.",13.987584856469,FALSE
"1463","CO",37,"408","408-1513","no","no",0,199.5,107,207.5,110,83.9,123,8.1,4,2,"False.",11.4331696008312,FALSE
"1464","ID",87,"415","370-7546","no","no",0,156.8,93,215.8,68,223.3,77,7.6,6,1,"False.",6.72776786871593,FALSE
"1465","AL",69,"415","389-4278","no","no",0,183.4,85,237.6,100,228,94,9,5,3,"False.",4.31196493500593,FALSE
"1466","CO",83,"510","379-3012","no","no",0,132.4,120,121.6,101,197.7,84,8.6,2,1,"False.",7.15243820306684,FALSE
"1467","UT",195,"415","355-3620","no","no",0,63.2,108,220.2,88,184,99,5.1,3,0,"False.",18.2499046831743,FALSE
"1468","DE",67,"415","413-7743","yes","yes",35,181.1,59,215.9,116,216.3,106,16.9,4,0,"True.",17.8920625771815,FALSE
"1469","OH",75,"510","372-2296","no","yes",27,117.5,102,206.8,127,194.4,114,4.2,7,3,"False.",15.1606544633386,FALSE
"1470","RI",123,"415","333-9728","no","yes",27,218.7,79,163.4,78,173.8,116,15,1,0,"False.",14.3998150982371,FALSE
"1472","OH",75,"415","340-9803","no","no",0,150.6,99,301.5,83,158.7,104,8.1,5,0,"False.",8.80453697023887,FALSE
"1473","MD",76,"415","400-7002","yes","no",0,273.3,66,263.6,121,165.2,84,12,7,1,"True.",12.8851224343209,FALSE
"1474","IL",86,"415","395-7435","yes","no",0,266.1,120,182,92,206.5,103,10.3,4,1,"False.",4.66184322303482,FALSE
"1475","PA",140,"408","336-7143","no","no",0,112.8,89,156.7,65,249.6,85,16.3,6,0,"False.",16.019748422378,FALSE
"1476","AZ",70,"415","352-2175","no","no",0,104.7,112,82.2,104,169.4,110,15.8,7,3,"False.",16.9777126229722,FALSE
"1477","NH",121,"510","346-6352","no","yes",35,193.8,62,197.6,97,218.8,95,5.9,4,0,"False.",14.0796129834302,FALSE
"1478","RI",112,"415","405-7467","no","no",0,168.6,102,298,117,194.7,110,9.8,5,1,"False.",5.59826729672348,FALSE
"1479","HI",118,"415","379-8526","no","no",0,253.2,122,201,78,195.3,108,9.7,7,2,"False.",6.7427054496901,FALSE
"1480","NJ",66,"415","410-5713","no","yes",16,174.7,92,232.1,105,305.4,98,8.9,2,1,"False.",7.76741702594088,FALSE
"1481","WI",78,"408","408-5916","no","no",0,87,102,193.6,64,205.8,120,11,5,0,"False.",9.95300682842553,FALSE
"1482","MD",129,"415","370-5626","no","yes",34,204.5,79,132.8,113,190.1,117,14.8,9,2,"False.",16.2141081789819,FALSE
"1483","OR",6,"408","408-1331","no","no",0,226.5,93,152.1,122,164.4,98,9.4,4,3,"False.",11.5709767589909,FALSE
"1484","NV",107,"510","419-9688","yes","no",0,234.1,91,163.1,105,282.5,100,10,3,1,"False.",5.45769770169384,FALSE
"1485","AR",107,"415","343-5219","yes","no",0,133.3,106,182.9,89,241.1,123,12.9,2,3,"True.",7.8056913617725,FALSE
"1486","MT",138,"415","401-5586","no","no",0,133.9,87,166.4,110,193.5,139,15.4,3,1,"False.",11.6812713430119,FALSE
"1487","CT",103,"510","377-9178","no","no",0,160.2,104,138.9,70,312.5,97,9.7,2,0,"False.",12.2779624309311,FALSE
"1488","UT",116,"415","345-5639","no","yes",44,230.6,94,224.1,103,244,76,11.1,2,0,"False.",14.111946205568,FALSE
"1489","GA",189,"408","336-3488","no","no",0,227.4,84,176,81,206.1,120,6.3,4,2,"False.",12.9654706095807,FALSE
"1490","NV",161,"415","414-6426","no","no",0,72.8,120,267.1,120,222.5,91,11.8,2,2,"False.",12.9021350825381,FALSE
"1491","TN",1,"415","335-5591","no","no",0,196.1,107,296.5,82,211.5,91,7,2,1,"False.",14.3027384622477,FALSE
"1492","DE",89,"408","421-9144","no","no",0,197.1,110,165.9,115,227.3,106,12.8,3,1,"False.",3.6283353541257,FALSE
"1493","NY",64,"408","422-7728","no","no",0,219.6,126,303.3,100,154.5,65,9.7,5,1,"False.",12.5446590729912,FALSE
"1494","MT",126,"415","344-3466","no","yes",30,153.4,90,151.4,97,153.8,97,12.8,4,4,"True.",11.3363697618733,FALSE
"1495","IA",129,"415","398-7978","no","no",0,216,85,186.9,114,210.7,109,4.9,10,2,"False.",13.0787382013684,FALSE
"1496","VT",128,"510","346-8368","no","yes",32,222.9,136,262,80,191.4,101,10.8,4,0,"False.",11.7809391627582,FALSE
"1497","LA",81,"415","392-2722","no","yes",36,115.9,120,236.6,95,255,90,11.7,6,3,"False.",11.9080094186015,FALSE
"1498","MT",114,"510","393-3274","no","no",0,189.8,101,147.7,80,172.7,121,10.6,5,1,"False.",4.62156644528412,FALSE
"1499","NH",50,"408","339-4636","no","no",0,154.7,102,298,108,210.2,95,11.1,3,0,"False.",8.34950890427057,FALSE
"1500","WV",86,"415","349-7138","no","no",0,136.4,104,202.5,110,230.7,86,11.5,1,3,"False.",6.28045032664013,FALSE
"1501","ID",96,"408","363-3295","no","no",0,170.5,86,277.5,88,162.5,117,12.2,6,1,"False.",6.15204772587309,FALSE
"1502","AZ",72,"510","407-9830","no","no",0,272.4,88,107.9,125,185.5,81,12.7,2,0,"False.",14.4708210078676,FALSE
"1504","WV",57,"415","419-6418","yes","yes",17,236.5,94,163.1,94,236.7,117,12.2,3,2,"False.",5.95562446783658,FALSE
"1505","OH",65,"510","351-8955","no","no",0,153.9,117,220.1,122,280.5,147,8.5,3,2,"False.",13.3432970380473,FALSE
"1506","MD",163,"408","338-1840","no","no",0,223,120,227,98,188.3,125,8.8,5,1,"False.",7.02716380860798,FALSE
"1507","MD",136,"415","336-6997","no","no",0,252.4,74,167.9,81,248.3,110,10.7,3,2,"False.",8.53936505799932,FALSE
"1508","MN",116,"408","408-6266","no","no",0,197.9,84,168.1,113,239.8,145,12,6,1,"False.",9.28691100678431,FALSE
"1509","NE",93,"408","332-4291","no","no",0,152.4,74,274.6,88,252.2,120,6.6,5,3,"False.",11.2759379347579,FALSE
"1510","MN",142,"510","355-7895","no","yes",40,237.4,105,175.9,93,210.3,110,9.2,3,3,"False.",12.1824723116143,FALSE
"1511","NY",92,"408","348-2916","no","no",0,265.6,82,180.7,75,211.1,113,8.6,2,1,"False.",8.13122717280202,FALSE
"1512","HI",70,"415","339-8132","no","no",0,197.3,91,305.8,81,171,105,6.7,6,1,"False.",9.40929661853076,FALSE
"1514","NV",37,"415","362-7604","no","no",0,233.7,114,207.9,109,212.7,101,12,2,2,"False.",6.58505227547826,FALSE
"1515","MA",51,"415","389-3206","no","no",0,183.1,99,160.1,107,311.8,121,7,3,1,"False.",10.6592299790655,FALSE
"1516","NH",174,"408","336-2829","no","no",0,139.4,96,143.4,108,225.2,107,10,5,2,"False.",6.65566233367839,FALSE
"1517","UT",68,"415","403-8916","no","no",0,213.9,112,260.5,100,233.8,97,8.4,3,1,"True.",4.70606066018308,FALSE
"1518","FL",130,"415","384-1135","no","no",0,207.1,70,200.1,115,194.2,100,12.4,2,1,"False.",6.30270670607318,FALSE
"1519","WA",104,"415","390-2320","no","no",0,139.7,78,202.6,119,203.6,102,11.3,5,2,"False.",3.61034016675412,FALSE
"1520","CT",134,"408","398-8578","no","no",0,177.2,91,228.7,105,194.3,113,8.9,3,2,"False.",3.36998935633373,FALSE
"1521","KY",108,"415","393-9424","no","yes",35,169.8,136,173.7,101,214.6,105,9.5,7,2,"False.",9.66622033132767,FALSE
"1522","NM",103,"415","417-6330","no","no",0,173.5,83,244.3,65,221.6,66,9.7,2,3,"False.",11.0277574003619,FALSE
"1523","ND",62,"510","340-6339","no","no",0,159.9,100,172.2,99,263.2,109,5.6,4,1,"False.",6.75960206168943,FALSE
"1524","NV",162,"415","380-6571","no","no",0,115.1,89,196.8,111,212.4,98,11.4,3,2,"False.",5.96250967009976,FALSE
"1525","CA",93,"510","368-6488","no","yes",19,136.8,113,179.5,105,71.1,95,12.5,3,2,"False.",10.0064482967001,FALSE
"1526","ID",42,"415","363-2193","no","no",0,92.2,108,211.2,120,129.1,73,13.1,6,1,"False.",13.0610945395694,FALSE
"1527","OK",155,"415","328-1206","no","yes",23,243.9,112,133,106,213.7,123,13.4,11,2,"False.",18.114672431713,FALSE
"1528","IA",36,"510","385-3540","no","no",0,117.1,94,235.4,117,221.3,108,9,2,0,"False.",9.07478114371938,FALSE
"1529","OH",143,"415","337-7167","no","no",0,223.3,99,167.1,128,203,84,4.5,4,0,"True.",11.8387105658498,FALSE
"1530","NJ",197,"510","372-8405","no","no",0,154.8,111,171.5,102,227.3,86,10.6,2,3,"False.",10.8610495047133,FALSE
"1531","IA",81,"510","377-1273","no","no",0,261.4,141,215.7,102,271.8,96,8,6,1,"True.",10.7975523794801,FALSE
"1532","DE",138,"510","380-7816","yes","no",0,46.5,104,186,114,167.5,95,9.6,4,4,"True.",12.909512324968,FALSE
"1533","CA",103,"415","402-6744","no","yes",18,149.9,84,170.9,84,171.5,112,11.5,7,0,"True.",6.60252439277614,FALSE
"1534","WY",127,"510","400-2181","yes","no",0,242.2,102,226.1,80,252,96,13.9,5,2,"True.",6.96084453056991,FALSE
"1535","OR",136,"510","366-1613","no","no",0,259.4,99,172.7,125,293.7,78,10.7,6,1,"True.",10.7645878612866,FALSE
"1536","ME",99,"415","347-8205","no","no",0,222.4,102,185.8,89,237.7,81,12,8,2,"False.",6.25140228221237,FALSE
"1537","AR",95,"415","328-2982","no","no",0,69.4,79,190.8,109,219.9,102,8.9,5,0,"False.",8.32983831960172,FALSE
"1538","ME",118,"408","384-8723","yes","yes",21,156.5,122,209.2,125,158.7,81,11.1,3,4,"True.",10.8745526977108,FALSE
"1540","PA",128,"408","353-6038","yes","no",0,245.2,112,101.5,101,152.3,116,10.7,5,0,"False.",9.90722935303959,FALSE
"1541","HI",117,"408","416-8827","no","no",0,102.3,100,135.2,104,199.7,93,15.7,10,3,"False.",16.3709102180565,FALSE
"1542","MT",48,"415","418-8450","no","yes",36,230.9,92,167.6,121,270,87,7.6,4,3,"False.",14.0709954857231,FALSE
"1543","DC",81,"510","385-7861","yes","no",0,227.4,105,211.5,120,258.2,113,11.9,3,0,"False.",6.44326224852072,FALSE
"1544","AR",57,"510","393-3507","no","no",0,192.8,68,158,86,235.5,105,12.7,6,1,"False.",7.67099129563654,FALSE
"1545","MS",140,"408","372-5262","no","no",0,162.6,98,206.2,109,141.6,66,8.2,2,1,"False.",8.13582873966631,FALSE
"1546","OH",107,"510","411-3095","no","yes",38,219.4,92,180.5,73,104.1,91,11,1,2,"False.",15.3799718729946,FALSE
"1547","MO",56,"415","331-5919","no","no",0,137.2,111,165.9,119,182.3,72,14.3,4,1,"False.",9.36848413228185,FALSE
"1548","TX",159,"415","402-1556","no","no",0,87.7,103,278.2,97,170.6,93,10.5,10,1,"False.",14.3002081093505,FALSE
"1549","MD",102,"415","349-7362","no","no",0,271.1,80,172,133,169.2,105,10.3,5,1,"False.",8.18439983310376,FALSE
"1550","CT",107,"408","339-2734","no","no",0,103.4,94,189.3,125,227.2,125,14.4,3,1,"False.",9.21865494754083,FALSE
"1551","SC",106,"408","330-4914","no","no",0,52.2,106,220.1,113,112.3,95,11.4,2,2,"False.",11.1796735763448,FALSE
"1552","MI",225,"415","371-2500","no","no",0,165.4,106,273.7,109,210,93,8.7,3,0,"True.",15.6587823408533,FALSE
"1553","SD",75,"408","335-3681","no","no",0,147.5,110,191.7,97,135,68,16.4,3,2,"False.",11.7451151354094,FALSE
"1554","CO",86,"415","405-1132","no","no",0,217.8,93,214.7,95,228.7,70,11.3,7,0,"False.",7.43275173234795,FALSE
"1555","ID",169,"415","399-9239","no","no",0,235.7,79,136.9,85,220.9,97,13.3,10,1,"False.",15.8600803079595,FALSE
"1556","AZ",122,"510","350-7227","no","yes",22,204.5,92,139.6,121,205,103,8.6,5,2,"False.",5.32212896939133,FALSE
"1557","FL",106,"408","384-6654","no","no",0,178.4,143,247,123,259.9,105,9.6,2,0,"False.",11.4652577714553,FALSE
"1558","MN",52,"415","376-4271","no","yes",32,130.1,68,247.2,77,289.4,87,13.5,5,2,"False.",15.7697412518475,FALSE
"1559","DE",79,"415","391-8124","no","yes",34,103.7,100,236.3,78,256.6,102,14.8,4,2,"False.",12.5633001551261,FALSE
"1560","MI",135,"415","393-2524","no","no",0,239.9,91,177.1,104,217.2,118,5.9,3,2,"False.",7.44985771741712,FALSE
"1561","MS",70,"408","384-4385","no","no",0,148.4,110,267.1,90,151.5,101,8.9,4,0,"False.",6.36718144003326,FALSE
"1562","MA",80,"408","377-8266","no","no",0,148.6,106,210.8,65,203.7,86,10,2,2,"False.",5.97305401404506,FALSE
"1563","CA",37,"415","345-1243","no","no",0,191.1,69,129.2,113,207.5,117,12.9,1,0,"False.",13.5000479358973,FALSE
"1564","MN",161,"415","394-8086","no","yes",39,218.5,76,112.7,94,205.1,121,7.3,4,1,"False.",17.5761153109164,FALSE
"1566","CT",123,"415","376-5201","no","no",0,128.7,126,117.6,94,198.4,132,10.8,5,0,"False.",10.5795364693752,FALSE
"1569","NE",105,"415","397-7500","no","yes",27,141.2,96,167.7,94,274.4,101,11.4,2,1,"False.",7.0918845144123,FALSE
"1570","NC",73,"415","414-5786","no","yes",31,194.4,104,176,84,230.1,110,11.5,3,0,"False.",7.32927983762078,FALSE
"1571","NE",112,"415","388-4282","no","no",0,167.6,100,154.5,90,281.4,107,17.3,3,2,"False.",12.0644546279666,FALSE
"1572","IL",179,"408","415-5132","no","no",0,234.5,134,164.2,94,191.4,72,6.1,4,1,"False.",13.4410248206877,FALSE
"1573","MA",57,"510","352-4541","no","no",0,154.2,78,196.7,85,253.5,97,10.1,9,1,"False.",9.09485441377015,FALSE
"1574","AZ",127,"415","373-5928","no","yes",14,143.2,99,169.9,91,221.6,77,11.6,1,1,"False.",6.04757631988097,FALSE
"1575","SD",122,"415","406-7737","yes","yes",40,216.4,80,249.7,90,185.9,99,12.7,4,1,"False.",10.5428360754566,FALSE
"1576","MT",33,"510","332-7607","no","yes",35,161.9,85,151.2,82,191,131,8.5,2,1,"False.",14.6255705508781,FALSE
"1577","VT",94,"408","359-7788","no","no",0,118.7,90,205.1,57,172.2,100,10.4,6,3,"False.",9.07011225748223,FALSE
"1578","UT",100,"408","384-1549","no","no",0,179.1,123,196.6,132,186.7,116,10.2,10,1,"False.",11.5648002712683,FALSE
"1579","HI",106,"415","352-8508","no","no",0,147.9,97,209.3,99,162.1,80,8.8,5,2,"False.",2.87520388098751,FALSE
"1581","WI",120,"415","414-2905","no","yes",29,244.3,140,322.3,89,166.8,83,10.6,6,0,"False.",17.4007454272036,FALSE
"1583","WA",86,"510","387-6498","no","no",0,150.5,92,120.3,95,271.2,96,9,2,1,"False.",7.09567024502716,FALSE
"1584","SD",78,"415","360-6024","no","yes",25,197.4,73,295.7,113,211.7,73,13.2,2,0,"False.",14.0231604671676,FALSE
"1585","MT",94,"510","352-5815","no","no",0,163.5,136,143.7,111,253.4,82,12.6,5,1,"False.",8.7287537275959,FALSE
"1586","NJ",85,"415","366-2273","no","no",0,236.9,93,197.7,113,309.1,78,11.4,7,2,"True.",10.1395417423214,FALSE
"1587","CT",89,"415","414-9119","no","no",0,82.3,77,167.2,80,194.7,70,7.2,4,1,"False.",10.4268632221443,FALSE
"1588","VA",128,"415","409-8796","no","no",0,216,111,153.7,115,227,74,12.7,4,1,"False.",6.23255855874367,FALSE
"1589","NC",115,"415","337-2442","yes","no",0,180,119,198.8,126,217.1,70,12.4,3,1,"False.",7.00979780110458,FALSE
"1590","AK",76,"415","404-1931","no","no",0,143.7,55,173.1,108,239.1,95,5.8,6,1,"False.",11.3307918959752,FALSE
"1591","MD",75,"415","367-9765","no","yes",39,198.2,107,280.4,132,129.6,73,11.3,7,1,"False.",17.2899258384048,FALSE
"1592","IL",90,"415","378-7299","no","yes",29,185.6,106,219.7,113,152.1,120,11.1,5,2,"False.",5.9275580477606,FALSE
"1594","KS",105,"415","405-1108","yes","no",0,273.9,119,278.6,103,255.3,90,10.9,7,1,"True.",9.80012588974737,FALSE
"1595","MA",102,"415","392-1734","no","yes",31,125.3,92,141.2,108,168.2,68,6.3,2,3,"False.",14.3028410204836,FALSE
"1596","NJ",83,"415","395-6030","no","no",0,178.8,102,167.9,84,178.9,65,8.6,4,3,"False.",6.79574422829077,FALSE
"1598","MS",155,"408","334-3142","no","no",0,163,93,203.9,102,159,109,15.1,4,2,"False.",6.88874091457859,FALSE
"1599","ND",82,"415","362-9983","no","yes",29,163.8,77,134.9,112,79.3,95,8.8,2,2,"False.",14.6178055873584,FALSE
"1600","IN",87,"510","414-2606","no","no",0,189.5,113,204.9,100,221.7,93,13.4,3,1,"False.",3.23131443367642,FALSE
"1601","MI",115,"415","402-4501","no","yes",26,155.2,110,230.9,133,261.6,100,4.5,4,0,"False.",13.6642589994013,FALSE
"1602","AR",99,"510","387-2604","yes","no",0,242.3,102,350.9,102,163.1,93,11.3,3,0,"True.",13.3777110247552,FALSE
"1603","VT",121,"415","400-3343","yes","yes",44,254.1,127,180.2,108,196.2,129,8.7,4,3,"False.",16.7800945972846,FALSE
"1604","WV",54,"510","353-2450","no","yes",33,112,90,208,112,150.3,83,11.3,4,2,"False.",9.57066702004726,FALSE
"1605","ME",105,"408","406-2032","no","no",0,115.5,73,267.3,83,114.2,90,13.3,5,3,"False.",12.1045840219891,FALSE
"1606","IA",73,"415","409-4462","no","no",0,137.1,102,210.8,114,191.4,120,11.1,4,1,"False.",3.49250556715329,FALSE
"1607","CT",95,"415","392-5941","no","no",0,198.4,113,235.9,144,325.6,99,10.1,3,0,"False.",14.6790413882443,FALSE
"1608","NM",21,"415","334-9182","no","yes",19,132.7,94,204.6,101,154.7,78,12.9,7,3,"False.",11.8828155390882,FALSE
"1609","OR",163,"408","346-3445","no","yes",25,219.6,99,210.4,99,242.7,88,13.8,8,2,"False.",10.262242278363,FALSE
"1610","VT",57,"415","368-9507","no","no",0,169.6,96,234.7,112,285.4,83,11.2,4,0,"False.",8.07355224654756,FALSE
